,author,title,library_type,day,month,year,challenge_date,state
4484,"Maas, Sarah J.",Queen of Shadows,School,1,2,2023,2023-02-01,PA
4485,"Meconis, Dylan",Queen of the Sea,School,1,9,2022,2022-09-01,MO
4486,"Sicari, Arabelle",Queer Heroes: Meet 53 LGBTQ Heroes From Past and Present!,School,1,1,2022,2022-01-01,TX
4487,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,7,2022,2022-07-01,FL
4488,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,9,2022,2022-09-01,FL
4490,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,2,2023,2023-02-01,PA
4491,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,1,2022,2022-01-01,TX
4492,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,10,2021,2021-10-01,TN
4493,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,4,2022,2022-04-01,MS
4494,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,2,2022,2022-02-01,TX
4495,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,11,2021,2021-11-01,UT
4496,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,5,2022,2022-05-01,NC
4497,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",School,1,1,2022,2022-01-01,TX
4498,"Belge, Kathy and Bieschke, Marke",Queer: The Ultimate LGBTQ Guide for Teens,School,1,11,2022,2022-11-01,UT
4499,"Belge, Kathy and Bieschke, Marke",Queer: The Ultimate LGBTQ Guide for Teens,School,1,7,2021,2021-07-01,WI
4500,"Belge, Kathy and Bieschke, Marke",Queer: The Ultimate LGBTQ Guide for Teens,School,1,11,2021,2021-11-01,UT
4501,"Belge, Kathy and Bieschke, Marke",Queer: The Ultimate LGBTQ Guide for Teens,School,1,1,2022,2022-01-01,TX
4502,"Belge, Kathy and Bieschke, Marke",Queer: The Ultimate LGBTQ Guide for Teens,School,1,4,2022,2022-04-01,FL
4503,"Belge, Kathy and Bieschke, Marke",Queer: The Ultimate LGBTQ Guide for Teens,School,1,2,2022,2022-02-01,TN
4504,"Belge, Kathy and Bieschke, Marke",Queer: The Ultimate LGBTQ Guide for Teens,School,1,3,2022,2022-03-01,WI
4505,"Ekins, Erin",Queerly Autistic: The Ultimate Guide for LGBTQOA+ Teens,Public,1,10,2022,2022-10-01,MI
4506,"Updike, John",Rabbit is Rich,School,1,7,2022,2022-07-01,FL
4507,"Updike, John",Rabbit is Rich,School,1,1,2022,2022-01-01,FL
4508,"Harris, Duchess",Race and Policing in Modern America,School,1,9,2022,2022-09-01,FL
4509,"Harris, Duchess",Race and Policing in Modern America,School,1,8,2022,2022-08-01,FL
4510,"Devenny, Jenny",Race Cars: A Children's Book About White Privilege,School,1,7,2021,2021-07-01,IN
4511,"Steptoe, Javaka",Radiant Child: The Story of Young Artist Jean-Michel Basquiat,School,1,9,2021,2021-09-01,PA
4512,"Steptoe, Javaka",Radiant Child: The Story of Young Artist Jean-Michel Basquiat,School,1,1,2022,2022-01-01,FL
4513,"Peters, Julie Anne",Rage: A Love Story,School,1,1,2022,2022-01-01,TX
4514,"Peters, Julie Anne",Rage: A Love Story,School,1,12,2021,2021-12-01,TX
4515,"Sanchez, Alex",Rainbow Boys,School,1,7,2022,2022-07-01,FL
4516,"Sanchez, Alex",Rainbow Boys,School,1,9,2022,2022-09-01,FL
4517,"Sanchez, Alex",Rainbow Boys,School,1,2,2023,2023-02-01,ID
4519,"Sanchez, Alex",Rainbow Boys,School,1,11,2021,2021-11-01,FL
4520,"Sanchez, Alex",Rainbow Boys,School,1,11,2021,2021-11-01,UT
4521,"Sanchez, Alex",Rainbow Boys,School,1,12,2021,2021-12-01,TX
4523,"Sanchez, Alex",Rainbow High,School,1,11,2021,2021-11-01,UT
4524,"Sanchez, Alex",Rainbow High,School,1,12,2021,2021-12-01,TX
4525,"Prager, Sarah",Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,School,1,9,2021,2021-09-01,PA
4526,"Prager, Sarah",Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,School,1,2,2022,2022-02-01,TX
4527,"Prager, Sarah",Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,School,1,11,2021,2021-11-01,UT
4528,"Prager, Sarah",Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,School,1,12,2021,2021-12-01,TX
4529,"Prager, Sarah",Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,School,1,1,2022,2022-01-01,TX
4530,"Lawson, Jamie","Rainbow Revolutions: Power, Pride, and Protest in the Fight for Queer Rights",School,1,11,2021,2021-11-01,UT
4531,"Lawson, Jamie","Rainbow Revolutions: Power, Pride, and Protest in the Fight for Queer Rights",School,1,12,2021,2021-12-01,TX
4533,"Sanchez, Alex",Rainbow Road,School,1,12,2021,2021-12-01,TX
4535,"Atwood, Megan",Raise the Stakes,School,1,12,2021,2021-12-01,TX
4536,"Hassan, Ndaa",Ramadan Around the World,School,1,9,2021,2021-09-01,PA
4537,"Murphy, Julie",Ramona Blue,School,1,10,2022,2022-10-01,SC
4539,"Murphy, Julie",Ramona Blue,School,1,9,2022,2022-09-01,FL
4540,"Murphy, Julie",Ramona Blue,School,1,7,2022,2022-07-01,VA
4541,"Murphy, Julie",Ramona Blue,School,1,12,2022,2022-12-01,SC
4543,"Murphy, Julie",Ramona Blue,School,1,2,2023,2023-02-01,PA
4544,"Murphy, Julie",Ramona Blue,School,1,2,2023,2023-02-01,FL
4545,"Murphy, Julie",Ramona Blue,School,1,11,2022,2022-11-01,TX
4546,"Murphy, Julie",Ramona Blue,School,1,7,2022,2022-07-01,VA
4547,"Murphy, Julie",Ramona Blue,School,1,2,2022,2022-02-01,TN
4548,"Dillon, Diane and Dillon, Leo",Rap a Tap Tap: Here's Bojangles - Think of That!,School,1,1,2022,2022-01-01,TN
4549,"Dillon, Diane and Dillon, Leo",Rap a Tap Tap: Here's Bojangles - Think of That!,School,1,9,2021,2021-09-01,PA
4550,Bruno Leone,Rape on Campus (At Issue Series),School,1,11,2021,2021-11-01,FL
4551,"Muntz, Eugene","Raphael: His Life, Works, and Times",School,1,9,2022,2022-09-01,MO
4552,"Dolcetta, Marco",Raphael: School of Athens,School,1,9,2022,2022-09-01,MO
4553,"Hartzler, Aaron",Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family,School,1,2,2022,2022-02-01,TN
4554,"Knowles, Jo",Read Between the Lines,School,1,5,2022,2022-05-01,PA
4555,"Ziemke, Kristin and Muhtaris, Katie",Read the World: Rethinking Literacy for Empathy and Action in a Digital Age,School,1,9,2021,2021-09-01,PA
4556,Editors of Reader's Digest,Reader's Digest Family Guide to the Bible,School,1,2,2023,2023-02-01,PA
4557,"Cabot, Meg",Ready or Not,School,1,9,2022,2022-09-01,FL
4558,"Cabot, Meg",Ready or Not,School,1,7,2022,2022-07-01,FL
4560,"Cabot, Meg",Ready or Not,School,1,11,2021,2021-11-01,FL
4561,"Cabot, Meg",Ready or Not,School,1,11,2021,2021-11-01,UT
