ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated
7554,"Katz, Alan",Take me out of the Bathtub and Other Silly Dilly Songs,,,"Catrow, David",Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7555,"Blume, Judy","Are You There God? It's Me, Margaret",,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,
7556,Dr. Seuss,Wacky Wednesday,,,,Internal/Administrative Review,Administration,Off Shelves,"Katy Officials have pulled as many as 19 books so far - it is unclear why. It seems some have moved between levels - elementary to MS, for example.",Banned/Removed,,,School,9,2023,TX,Katy ISD,,,,,,,09/18/2023,https://www.click2houston.com/news/local/2023/09/15/are-you-there-god-its-me-margret-and-other-books-removed-from-katy-isd-schools/,,,,09/26/2023
7557,"Johnson, George M.",All Boys Aren't Blue,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7558,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7559,"Witton, Hannah",Doing It!: Let's Talk About Sex,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7560,"Kobabe, Maia",Gender Queer: A Memoir,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7561,"Pinsky, Drew","It Doesn't Have to Be Awkward: Dealing with Relationships, Consent, and Other Hard-to-Talk-About Stuff",,"Pinsky, Paulina",,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7562,"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7563,"Morrison, Toni",The Bluest Eye,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7564,"Atwood, Margaret",The Handmaid's Tale,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7565,"Thomas, Angie",The Hate U Give,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7566,"Kaur, Rupi",The Sun and Her Flowers,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7567,"Kaur, Rupi",The Sun and Her Flowers,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7568,"Bertie, Alex",Trans Mission: My Quest to a Beard,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7569,"Hopkins, Ellen",Tricks,,,,Formal,Group,On shelves,"A group - Faith, Family Freedom Coalition of Baldwin County (formally Keep Fairhope Family Friendly) had advocated against Pride events and a drag bunch. Now they filed book challenges",Still in Process,,,Public,9,2023,AL,Fairhope Public Library,,Baldwin,,,,Unknown,09/19/2023,"https://gulfcoastmedia.com/stories/community-divided-battle-over-teen-section-library-books-erupts-in-fairhope,184705",,,,
7570,"Andrews, Jesse",Me and Earl and the Dying Girl,,,,Formal Challenge,Affiliation Unknown,On shelves,Reporting discusses challenge process in district and steps the district takes to make sure that bias and homophobia aren't driving the process,Still in Process,,,School,9,2023,CA,Visalia Unifed School District,,Tulare,,,Unknown,,,https://thesungazette.com/article/news/2023/09/10/vusd-committees-review-challenged-books/,,,,
7571,"Atta, Dean",Black Flamingo,,,,Formal Challenge,Affiliation Unknown,On shelves,Reporting discusses challenge process in district and steps the district takes to make sure that bias and homophobia aren't driving the process,Still in Process,,,School,9,2023,CA,Visalia Unifed School District,,Tulare,,,Unknown,,,https://thesungazette.com/article/news/2023/09/10/vusd-committees-review-challenged-books/,,,,
7572,"Tamaki, Mariko",This One Summer,,"Tamaki, Jillian",,Formal Challenge,Affiliation Unknown,On shelves,Reporting discusses challenge process in district and steps the district takes to make sure that bias and homophobia aren't driving the process,Still in Process,,,School,9,2023,CA,Visalia Unifed School District,,Tulare,,,Unknown,,,https://thesungazette.com/article/news/2023/09/10/vusd-committees-review-challenged-books/,,,,
7573,"Patterson, Jodie",Born Ready: The True Story of a Boy Named Penelope,,,"Barlow, Charnelle Pinkney",Formal,Group,On shelves,has removed 17 books from library shelves since the spring after a group challenged the books’ presence. A total of 30 books were challenged and all were by a group called PACE.,Banned/Removed,,,School,9,2023,SC,Lexington School District Two,,West Columbia,,,,,09/21/2023,https://www.postandcourier.com/columbia/education/lexington-school-district-pulls-17-books-from-libraries-after-complaints-from-parent-group/article_7d2f3d0c-533a-11ee-8cc3-f3f2d44960ed.html,,,,
7574,"Maas, Sarah J.",A Court of Thorns and Roses,A Court of Thorns and Roses,,,Formal,Group,On shelves,has removed 17 books from library shelves since the spring after a group challenged the books’ presence. A total of 30 books were challenged and all were by a group called PACE.,Banned/Removed,,,School,9,2023,SC,Lexington School District Two,,West Columbia,,,,,09/21/2023,https://www.postandcourier.com/columbia/education/lexington-school-district-pulls-17-books-from-libraries-after-complaints-from-parent-group/article_7d2f3d0c-533a-11ee-8cc3-f3f2d44960ed.html,,,,
7575,"Ramée, Lisa Moore",A Good Kind of Trouble,,,,Formal,Group,On shelves,has removed 17 books from library shelves since the spring after a group challenged the books’ presence. A total of 30 books were challenged and all were by a group called PACE.,Still in Process,,,School,9,2023,SC,Lexington School District Two,,West Columbia,,,,,09/21/2023,https://www.postandcourier.com/columbia/education/lexington-school-district-pulls-17-books-from-libraries-after-complaints-from-parent-group/article_7d2f3d0c-533a-11ee-8cc3-f3f2d44960ed.html,,,,
7576,"Matsui, Yūsei",Assassination Classroom,,,,Formal,Group,On shelves,has removed 17 books from library shelves since the spring after a group challenged the books’ presence. A total of 30 books were challenged and all were by a group called PACE.,Banned/Removed,,,School,9,2023,SC,Lexington School District Two,,West Columbia,,,,,09/21/2023,https://www.postandcourier.com/columbia/education/lexington-school-district-pulls-17-books-from-libraries-after-complaints-from-parent-group/article_7d2f3d0c-533a-11ee-8cc3-f3f2d44960ed.html,,,,
7577,"Witton, Hannah",Doing It!: Let's Talk About Sex,,,,Formal,Group,On shelves,has removed 17 books from library shelves since the spring after a group challenged the books’ presence. A total of 30 books were challenged and all were by a group called PACE.,Banned/Removed,,,School,9,2023,SC,Lexington School District Two,,West Columbia,,,,,09/21/2023,https://www.postandcourier.com/columbia/education/lexington-school-district-pulls-17-books-from-libraries-after-complaints-from-parent-group/article_7d2f3d0c-533a-11ee-8cc3-f3f2d44960ed.html,,,,
7578,"Curato, Mike",Flamer,,,,Formal,Group,On shelves,has removed 17 books from library shelves since the spring after a group challenged the books’ presence. A total of 30 books were challenged and all were by a group called PACE.,Still in Process,,,School,9,2023,SC,Lexington School District Two,,West Columbia,,,,,09/21/2023,https://www.postandcourier.com/columbia/education/lexington-school-district-pulls-17-books-from-libraries-after-complaints-from-parent-group/article_7d2f3d0c-533a-11ee-8cc3-f3f2d44960ed.html,,,,
7579,"Jackson, Tiffany D.",Grown,,,,Formal,Group,On shelves,has removed 17 books from library shelves since the spring after a group challenged the books’ presence. A total of 30 books were challenged and all were by a group called PACE.,Banned/Removed,,,School,9,2023,SC,Lexington School District Two,,West Columbia,,,,,09/21/2023,https://www.postandcourier.com/columbia/education/lexington-school-district-pulls-17-books-from-libraries-after-complaints-from-parent-group/article_7d2f3d0c-533a-11ee-8cc3-f3f2d44960ed.html,,,,
